subject,year,paper_number,language,missing_memo_questions,total_questions,memo_coverage_pct,rows_with_memo_url,rows_without_memo_url,catalog_has_memo,qp_url,memo_url,remediation_hint
Setswana Home Language,2024,2,Setswana,122,122,0,0,122,yes,https://www.education.gov.za/LinkClick.aspx?fileticket=db9w05QsEbs%3d&tabid=4933&portalid=0&mid=13120,,MEMO_IN_CATALOG_NOT_LINKED — re-ingest with force to re-pair
Computer Applications Technology,2019,2,English,119,119,0,0,119,yes,https://www.education.gov.za/LinkClick.aspx?fileticket=omTMDEUn3dE%3d&tabid=2468&portalid=0&mid=8782,,MEMO_IN_CATALOG_NOT_LINKED — re-ingest with force to re-pair
Computer Applications Technology,2016,2,English,115,115,0,0,115,yes,https://www.education.gov.za/LinkClick.aspx?fileticket=X2z5moAAY-s%3d&tabid=1000&portalid=0&mid=4431,,MEMO_IN_CATALOG_NOT_LINKED — re-ingest with force to re-pair
siSwati First Additional Language,2021,2,siSwati,104,104,0,104,0,yes,https://www.education.gov.za/LinkClick.aspx?fileticket=Vy0JznymTzE%3d&tabid=2837&portalid=0&mid=9949,https://www.education.gov.za/LinkClick.aspx?fileticket=8CWT6O47y-0%3d&tabid=2837&portalid=0&mid=9949,"MEMO_PDF_EXTRACTION_FAILED — re-ingest with force, or OCR fallback"
Tshivenda First Additional Language,2020,2,Tshivenda,93,93,0,0,93,no,https://www.education.gov.za/LinkClick.aspx?fileticket=8bO09gsU888%3d&tabid=2702&portalid=0&mid=10160,,MEMO_MISSING_FROM_CATALOG — manually source memo PDF
Physical Sciences,2017,2,Afrikaans,90,90,0,0,90,yes,https://www.education.gov.za/LinkClick.aspx?fileticket=Ch4iRWCAJJw%3d&tabid=1686&portalid=0&mid=6755,,MEMO_IN_CATALOG_NOT_LINKED — re-ingest with force to re-pair
Physical Sciences,2017,2,English,90,90,0,90,0,yes,https://www.education.gov.za/LinkClick.aspx?fileticket=RCg7-dlBbr0%3d&tabid=1686&portalid=0&mid=6755,https://www.education.gov.za/LinkClick.aspx?fileticket=iCPNZkTuvZE%3d&tabid=1686&portalid=0&mid=6755,"MEMO_PDF_EXTRACTION_FAILED — re-ingest with force, or OCR fallback"
isiXhosa Home Language,2024,2,isiXhosa,89,89,0,0,89,yes,https://www.education.gov.za/LinkClick.aspx?fileticket=Y6Er6Ap6qqo%3d&tabid=4933&portalid=0&mid=13116,,MEMO_IN_CATALOG_NOT_LINKED — re-ingest with force to re-pair
Technical Sciences,2020,2,English,86,86,0,86,0,yes,https://www.education.gov.za/LinkClick.aspx?fileticket=e56PUzkT_e4%3d&tabid=2702&portalid=0&mid=9657,https://www.education.gov.za/LinkClick.aspx?fileticket=su12lV55X-4%3d&tabid=2702&portalid=0&mid=9657,"MEMO_PDF_EXTRACTION_FAILED — re-ingest with force, or OCR fallback"
Technical Sciences,2020,2,Afrikaans,86,86,0,0,86,no,https://www.education.gov.za/LinkClick.aspx?fileticket=bcepO3JfptQ%3d&tabid=2702&portalid=0&mid=9657,,MEMO_MISSING_FROM_CATALOG — manually source memo PDF
Agricultural Management Practices,2017,1,Afrikaans,85,85,0,0,85,yes,https://www.education.gov.za/LinkClick.aspx?fileticket=x-irOvmPK8M%3d&tabid=1856&portalid=0&mid=8640,,MEMO_IN_CATALOG_NOT_LINKED — re-ingest with force to re-pair
Technical Sciences,2021,2,Afrikaans,82,82,0,0,82,no,https://www.education.gov.za/LinkClick.aspx?fileticket=l0gmyNe0YoA%3d&tabid=2837&portalid=0&mid=9922,,MEMO_MISSING_FROM_CATALOG — manually source memo PDF
